time,outsideTemp,humidity,day
23 h,4.7 °C,95%,16-10-2021
22 h,5.2 °C,92%,16-10-2021
21 h,5.2 °C,91%,16-10-2021
20 h,5.3 °C,90%,16-10-2021
19 h,5.4 °C,91%,16-10-2021
18 h,5.4 °C,97%,16-10-2021
17 h,5.8 °C,96%,16-10-2021
16 h,6.4 °C,91%,16-10-2021
15 h,6.6 °C,90%,16-10-2021
14 h,6.7 °C,91%,16-10-2021
13 h,6.8 °C,91%,16-10-2021
12 h,6.7 °C,93%,16-10-2021
11 h,6.5 °C,97%,16-10-2021
10 h,6.4 °C,98%,16-10-2021
9 h,6.3 °C,99%,16-10-2021
8 h,6.2 °C,99%,16-10-2021
7 h,6.2 °C,99%,16-10-2021
6 h,6.2 °C,99%,16-10-2021
5 h,6.3 °C,99%,16-10-2021
4 h,6.4 °C,99%,16-10-2021
3 h,6.5 °C,98%,16-10-2021
2 h,6.6 °C,98%,16-10-2021
1 h,6.7 °C,98%,16-10-2021
0 h,6.9 °C,99%,16-10-2021
